"LINEAGE_AT1PERCENT","DATE_NUM_AT1PERCENT","DATE_AT1PERCENT","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Gamma - Omicron (BA.4)",-0.474789172300681,0.0160356834554777,NA,-0.506218534340902,-0.44335981026046,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Gamma - Omicron (BA.5)",-0.519845001688323,0.0432539416612435,NA,-0.604621169533757,-0.43506883384289,1.55431223447522e-14
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Delta - Omicron (BA.2)",-0.236321334415399,0.00252721373215097,NA,-0.24127458231165,-0.231368086519148,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Delta - Omicron (BA.3)",-0.164681953162465,0.00985875682242959,NA,-0.184004761466765,-0.145359144858164,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Delta - Omicron (BA.1.1, with S:R346K)",-0.151828232638704,0.00284977493654329,NA,-0.157413688878374,-0.146242776399035,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Delta - Omicron (BA.4)",-0.28570191495265,0.0142570082747379,NA,-0.313645137698426,-0.257758692206874,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Delta - Omicron (BA.5)",-0.330757744340293,0.0426265321987495,NA,-0.414304212235678,-0.247211276444907,1.21113341577939e-10
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.2) - Omicron (BA.3)",0.0716393812529349,0.00974592735506081,NA,0.052537714641072,0.0907410478647978,1.07079700661927e-09
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.2) - Omicron (BA.1.1, with S:R346K)",0.0844931017766951,0.00407173305528074,NA,0.0765126516336836,0.0924735519197065,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.2) - Omicron (BA.4)",-0.0493805805372507,0.0141379073774278,NA,-0.0770903698137723,-0.021670791260729,0.0263393053010195
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.2) - Omicron (BA.5)",-0.0944364099248931,0.0425767337118807,NA,-0.177885274579532,-0.0109875452702546,0.496518404544093
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.3) - Omicron (BA.1.1, with S:R346K)",0.0128537205237602,0.0101485815032239,NA,-0.00703713371672803,0.0327445747642484,0.972744016078539
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.3) - Omicron (BA.4)",-0.121019961790186,0.0171238497923185,NA,-0.154582090659803,-0.0874578329205676,4.72558703279446e-09
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.3) - Omicron (BA.5)",-0.166075791177828,0.0436701790985023,NA,-0.251667769409306,-0.0804838129463496,0.00964923129757933
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1.1, with S:R346K) - Omicron (BA.4)",-0.133873682313946,0.0144633109283989,NA,-0.162221250830812,-0.105526113797079,1.41553435639707e-13
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1.1, with S:R346K) - Omicron (BA.5)",-0.178929511701588,0.0426935090301317,NA,-0.262607251774282,-0.0952517716288944,0.00242783196340934
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.4) - Omicron (BA.5)",-0.0450558293876424,0.0448340028932999,NA,-0.132928860341275,0.0428172015659899,0.995259151818887
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Other",0.121899859064144,0.00209235965923431,NA,0.117798909489341,0.126000808638948,3.5527136788005e-15
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Alpha",0.328312295280696,0.00405821034237491,NA,0.320358349167953,0.336266241393438,3.5527136788005e-15
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Beta",0.422100157768895,0.016396654227034,NA,0.389963306016952,0.454237009520838,3.5527136788005e-15
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Gamma",0.37695881060337,0.00919928215922827,NA,0.358928548887661,0.39498907231908,3.5527136788005e-15
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Delta",0.158044299784158,0.00199055902151076,NA,0.154142875792896,0.16194572377542,3.5527136788005e-15
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Omicron (BA.2)",-0.0975547581258381,0.00130278603109147,NA,-0.100108171826339,-0.0950013444253369,3.5527136788005e-15
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Omicron (BA.3)",-0.0520665924843738,0.0114617180484064,NA,-0.0745311470602031,-0.0296020379085445,0.000626414882843096
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Omicron (BA.1.1, with S:R346K)",-0.0225623108669152,0.00221047158795581,NA,-0.0268947555681577,-0.0182298661656728,1.00142116821189e-13
"Omicron (BA.4)",19113,2022-05-01,"Omicron (BA.1) - Omicron (BA.4)",-0.199400802612892,0.0167813984944979,NA,-0.232291739272323,-0.166509865953462,1.95399252334028e-14
