"row","locality_revgeo","administrative_area_level_1_revgeo","administrative_area_level_2_revgeo","country_revgeo"
1965,"Thành ph<U+1ED1> Cao Lãnh","Ð<U+1ED3>ng Tháp",NA,"Vietnam"
1966,"Thành ph<U+1ED1> Cao Lãnh","Ð<U+1ED3>ng Tháp",NA,"Vietnam"
1967,"Thành ph<U+1ED1> Hà Giang","Hà Giang",NA,"Vietnam"
1968,NA,"Hà Nam","Duy Tiên","Vietnam"
1969,NA,"Hà Nam","Duy Tiên","Vietnam"
1970,NA,"Hà N<U+1ED9>i","Ð<U+1ED1>ng Ða","Vietnam"
1971,NA,"Hà Tinh","Huong Khê","Vietnam"
1972,"Thành ph<U+1ED1> H<U+1EA3>i Duong","H<U+1EA3>i Duong",NA,"Vietnam"
1973,NA,"Haiphong","Lê Chân","Vietnam"
1974,"Thành ph<U+1ED1> H<U+1EA3>i Duong","H<U+1EA3>i Duong",NA,"Vietnam"
1975,"Thành ph<U+1ED1> H<U+1EA3>i Duong","H<U+1EA3>i Duong",NA,"Vietnam"
1976,NA,"Hà Nam","Duy Tiên","Vietnam"
1977,NA,"Hà Nam","Duy Tiên","Vietnam"
1978,NA,"Hà N<U+1ED9>i","Ð<U+1ED1>ng Ða","Vietnam"
1979,NA,"Hau Giang","Ph<U+1EE5>ng Hi<U+1EC7>p District","Vietnam"
1980,NA,"Ho Chi Minh City","Tân Bình","Vietnam"
1981,NA,"Ho Chi Minh City","Tân Bình","Vietnam"
1982,NA,"Ho Chi Minh City","Tân Bình","Vietnam"
1983,NA,"Ho Chi Minh City","Tân Bình","Vietnam"
1984,NA,"Hòa Bình","Cao Phong","Vietnam"
1985,NA,"Hòa Bình","Cao Phong","Vietnam"
1986,NA,"Ho Chi Minh City","Tân Bình","Vietnam"
1987,"Hung Yên","Hung Yen",NA,"Vietnam"
1988,NA,"Hung Yen","Khoái Châu","Vietnam"
1989,NA,"Khanh Hoa Province","Diên Khánh District","Vietnam"
1990,NA,"Kiên Giang","An Biên","Vietnam"
1991,NA,"Lâm Ð<U+1ED3>ng","Di Linh","Vietnam"
1992,NA,"Lâm Ð<U+1ED3>ng","Di Linh","Vietnam"
1993,NA,"L<U+1EA1>ng Son","Thành ph<U+1ED1> L<U+1EA1>ng Son","Vietnam"
1994,NA,"L<U+1EA1>ng Son","Thành ph<U+1ED1> L<U+1EA1>ng Son","Vietnam"
1995,NA,"Lao Cai","B<U+1EA3>o Th<U+1EAF>ng District","Vietnam"
1996,NA,"Long An Province","C<U+1EA7>n Ðu<U+1EDB>c District","Vietnam"
1997,NA,"Savannakhet Province",NA,"Laos"
1998,"Nam Ð<U+1ECB>nh","Nam Dinh",NA,"Vietnam"
1999,"Nam Ð<U+1ECB>nh","Nam Dinh",NA,"Vietnam"
2000,NA,"Nghe An","Con Cuông District","Vietnam"
2001,NA,"Nghe An","Con Cuông District","Vietnam"
2002,"Thành ph<U+1ED1> Ninh Bình","Ninh Bình",NA,"Vietnam"
2003,NA,"Phú Th<U+1ECD>","Tam Nông","Vietnam"
2004,"Phu Quoc","Kien Giang",NA,"Vietnam"
2005,NA,"Phú Th<U+1ECD>","Tam Nông","Vietnam"
2006,NA,"Ho Chi Minh City","District 3","Vietnam"
2007,NA,"Qu<U+1EA3>ng Bình","B<U+1ED1> Tr<U+1EA1>ch","Vietnam"
2008,NA,"Qu<U+1EA3>ng Ngãi","Nghia Hành","Vietnam"
2009,NA,"Quang Nam Province","Hi<U+1EC7>p Ð<U+1EE9>c District","Vietnam"
2010,NA,"Qu<U+1EA3>ng Ninh","C<U+1EA9>m Ph<U+1EA3>","Vietnam"
2011,NA,"Qu<U+1EA3>ng Ninh","C<U+1EA9>m Ph<U+1EA3>","Vietnam"
2012,NA,"Qu<U+1EA3>ng Tr<U+1ECB> Province","Ðông Hà","Vietnam"
2013,"Thành ph<U+1ED1> Sóc Trang","Sóc Trang",NA,"Vietnam"
2014,"Thành ph<U+1ED1> Son La","Son La",NA,"Vietnam"
2015,"Thành ph<U+1ED1> Tây Ninh","Tây Ninh",NA,"Vietnam"
2016,"Thành ph<U+1ED1> Tây Ninh","Tây Ninh",NA,"Vietnam"
2017,"Thái Bình","Thai Binh",NA,"Vietnam"
2018,"Thái Nguyên","Thai Nguyen",NA,"Vietnam"
2019,"Thành ph<U+1ED1> Thái Bình","Thái Bình",NA,"Vietnam"
2020,"Thanh Hoá","Thanh Hoá",NA,"Vietnam"
2021,"Thanh Hoá","Thanh Hoá",NA,"Vietnam"
2022,"Thanh Hoá","Thanh Hoá",NA,"Vietnam"
2023,NA,"Tien Giang",NA,"Vietnam"
2024,NA,"Tien Giang",NA,"Vietnam"
2025,"Tuyên Quang","Tuyên Quang",NA,"Vietnam"
2026,NA,"Tuyên Quang","Chiêm Hoá District","Vietnam"
2027,"Thành ph<U+1ED1> Vinh Long","Vinh Long",NA,"Vietnam"
2028,"Thành ph<U+1ED1> Vinh Yên","Vinh Phúc",NA,"Vietnam"
2029,"Thành ph<U+1ED1> Vinh Yên","Vinh Phúc",NA,"Vietnam"
2030,"Thành ph<U+1ED1> Vinh Yên","Vinh Phúc",NA,"Vietnam"
2031,"Yên Bái","Yên Bái",NA,"Vietnam"
2032,"Bajram Curri","Kukës County","Tropojë District","Albania"
2033,"Has","Kukës County","Has District","Albania"
2034,"Has","Kukës County","Has District","Albania"
2035,"Kukës","Kukës County",NA,"Albania"
2036,"Wiesbaden","Hessen","Darmstadt","Germany"
2037,NA,"Elbasan County","Elbasan County","Albania"
2038,"Tropojë","Kukës County","Tropojë District","Albania"
2039,"Andorra la Vella","Andorra la Vella",NA,"Andorra"
2040,NA,"Encamp",NA,"Andorra"
2041,NA,"Tyrol","Innsbruck-Land District","Austria"
2042,"Gaspoltshofen","Upper Austria","Grieskirchen District","Austria"
2043,"Weyregg am Attersee","Upper Austria","Vöcklabruck District","Austria"
2044,"Attnang-Puchheim","Upper Austria","Vöcklabruck District","Austria"
2045,"Badgastein","Salzburg","St. Johann im Pongau District","Austria"
2046,"Bad Goisern","Upper Austria","Gmunden District","Austria"
2047,"Bad Ischl","Upper Austria","Gmunden District","Austria"
2048,"Neuberg im Burgenland","Burgenland","Güssing District","Austria"
2049,"Glanegg","Carinthia","Feldkirchen District","Austria"
2050,"Glanegg","Carinthia","Feldkirchen District","Austria"
2051,"Lienz","Tyrol","East Tyrol","Austria"
2052,"Ebensee","Upper Austria","Gmunden District","Austria"
2053,NA,"Tirol","Reutte","Austria"
2054,"Fornach","Oberösterreich","Vöcklabruck","Austria"
2055,"Frankenburg","Upper Austria","Vöcklabruck District","Austria"
2056,"Galtür","Tyrol","Landeck District","Austria"
2057,NA,"Styria","Liezen District","Austria"
2058,"Gmunden","Oberösterreich","Gmunden","Austria"
2059,NA,"Lower Austria","Krems-Land District","Austria"
2060,NA,"Tirol","Lienz","Austria"
2061,"Klaffer am Hochficht","Upper Austria","Rohrbach District","Austria"
2062,"Innsbruck","Tirol","Innsbruck","Austria"
2063,"Ischgl","Tyrol","Landeck District","Austria"
2064,NA,"Tirol","Landeck","Austria"
2065,NA,"Tyrol","Innsbruck-Land District","Austria"
2066,"Klagenfurt am Wörthersee","Kärnten","Klagenfurt am Wörthersee","Austria"
2067,"Kufstein","Tirol","Kufstein","Austria"
2068,"Laakirchen","Upper Austria","Gmunden District","Austria"
2069,NA,"Tyrol","Imst District","Austria"
2070,NA,"Carinthia","Sankt Veit an der Glan District","Austria"
2071,"Linz","Oberösterreich","Linz","Austria"
2072,"Losenstein","Upper Austria","Steyr-Land District","Austria"
2073,NA,"Niederösterreich","Sankt Pölten-Land","Austria"
2074,"Matrei am Brenner","Tyrol","Innsbruck-Land District","Austria"
2075,"Mayrhofen","Tyrol","Schwaz District","Austria"
2076,NA,"Steiermark","Liezen","Austria"
2077,NA,"Tyrol","Landeck District","Austria"
2078,NA,"Salzburg","Zell am See District","Austria"
2079,NA,"Steiermark","Liezen","Austria"
2080,NA,"Lower Austria","Amstetten District","Austria"
2081,"Ohlsdorf","Upper Austria","Gmunden District","Austria"
2082,"Patergassen","Kärnten","Feldkirchen","Austria"
2083,NA,"Tirol","Landeck","Austria"
2084,"Pfunds","Tyrol","Landeck District","Austria"
2085,NA,"Niederösterreich","Melk","Austria"
2086,NA,"Tyrol","Schwaz District","Austria"
2087,NA,"Oberösterreich","Vöcklabruck","Austria"
2088,"Wien","Wien",NA,"Austria"
2089,"Salzburg","Salzburg","Salzburg","Austria"
2090,"Schörfling am Attersee","Upper Austria","Vöcklabruck District","Austria"
2091,"Schwanenstadt","Upper Austria","Vöcklabruck District","Austria"
2092,NA,"Tirol","Landeck","Austria"
2093,"Seefeld","Tyrol","Innsbruck-Land District","Austria"
2094,"Seekirchen am Wallersee","Salzburg","Salzburg-Umgebung District","Austria"
2095,"Seiersberg","Styria","Graz-Umgebung District","Austria"
2096,"Sistrans","Tirol","Innsbruck-Land","Austria"
2097,"Soelden","Tyrol","Imst District","Austria"
2098,"Saint Anton am Arlberg","Tyrol","Landeck District","Austria"
2099,"Saint Wolfgang im Salzkammergut","Upper Austria","Gmunden District","Austria"
2100,NA,"Upper Austria","Vöcklabruck District","Austria"
2101,"Saint Valentin","Lower Austria","Amstetten District","Austria"
2102,NA,"Steiermark","Murau","Austria"
2103,NA,"Tyrol","Innsbruck-Land District","Austria"
2104,NA,"Oberösterreich","Bezirk Wels-Land","Austria"
2105,NA,"Tyrol","Schwaz District","Austria"
2106,NA,"Steiermark","Judenburg","Austria"
2107,"Thaur","Tirol","Innsbruck-Land","Austria"
2108,"Timelkam","Upper Austria","Vöcklabruck District","Austria"
2109,NA,"Tirol","Landeck","Austria"
2110,"Wattens","Tyrol","Innsbruck-Land District","Austria"
2111,"Eberstalzell","Oberösterreich","Bezirk Wels-Land","Austria"
2112,"Wien","Wien",NA,"Austria"
2113,"Vöcklabruck","Upper Austria","Vöcklabruck District","Austria"
2114,"Vöcklamarkt","Upper Austria","Vöcklabruck District","Austria"
2115,NA,"Vorarlberg","Bludenz","Austria"
2116,NA,"Vorarlberg","Bludenz","Austria"
2117,"Waidhofen an der Ybbs","Lower Austria","Waidhofen an der Ybbs","Austria"
2118,"Weyregg am Attersee","Upper Austria","Vöcklabruck District","Austria"
2119,"Zams","Tyrol","Landeck District","Austria"
2120,"Zell am Moos","Upper Austria","Vöcklabruck District","Austria"
2121,NA,NA,"Zardab","Azerbaijan"
2122,"Babruysk","Mogilev Region","Babruysk District","Belarus"
2123,"Barysaw","Minsk Region","Barysaw District","Belarus"
2124,"Brest","Brest Region","Brest District","Belarus"
2125,NA,"Brest Region","Ivatsevichy District","Belarus"
2126,"Gomel","Gomel Region","Gomel District","Belarus"
2127,NA,"Gomel Region","Kalinkavichy District","Belarus"
2128,NA,"Gomel Region","Kalinkavichy District","Belarus"
2129,NA,"Hrodna Region","Lida District","Belarus"
2130,NA,"Gomel Region","Kalinkavichy District","Belarus"
2131,"Minsk","Minsk Region","Minsk Region","Belarus"
2132,NA,"Minsk Region","Minsk Region","Belarus"
2133,NA,"Minsk Region","Minsk Region","Belarus"
2134,"Mogilev","Mogilev Region","Mahilyow District","Belarus"
2135,NA,"Mogilev Region","Bykhaw District","Belarus"
2136,NA,"Mogilev Region","Bykhaw District","Belarus"
2137,NA,"Minsk Region","Pukhavichy District","Belarus"
2138,"Orsha","Vitebsk Region","Orsha District","Belarus"
2139,NA,"Minsk Region","Pukhavichy District","Belarus"
2140,"Viciebsk","Vitebsk Region","Vitsebsk District","Belarus"
2141,NA,"Vitebsk Region","Polatsk District","Belarus"
2142,NA,"Vitebsk Region","Polatsk District","Belarus"
2143,"Schilde","Flanders","Antwerp","Belgium"
2144,"Ramillies","Wallonia","Walloon Brabant","Belgium"
2145,"Kortrijk","Flanders","West Flanders","Belgium"
2146,"Aalst","Flanders","East Flanders","Belgium"
2147,"Aalter","Flanders","East Flanders","Belgium"
2148,"Aarschot","Flanders","Flemish Brabant","Belgium"
2149,"Tielt","Flanders","West Flanders","Belgium"
2150,"Zedelgem","Flanders","West Flanders","Belgium"
2151,"Aartselaar","Vlaams Gewest","Antwerpen","Belgium"
2152,"Hamont-Achel","Flanders","Limburg","Belgium"
2153,"Ciney","Wallonia","Province of Namur","Belgium"
2154,"Wasseiges","Wallonia","Liege","Belgium"
2155,"Maldegem","Flanders","East Flanders","Belgium"
2156,"Affligem","Flanders","Flemish Brabant","Belgium"
2157,"Mont-Saint-Guibert","Wallonia","Walloon Brabant","Belgium"
2158,"Ghent","Flanders","East Flanders","Belgium"
2159,"Aiseau-Presles","Wallonia","Hainaut","Belgium"
2160,"Aiseau-Presles","Wallonia","Hainaut","Belgium"
2161,"Fosses-la-Ville","Wallonia","Province of Namur","Belgium"
2162,"Mont-Saint-Guibert","Wallonia","Walloon Brabant","Belgium"
2163,"Alken","Flanders","Limburg","Belgium"
2164,"Vresse-sur-Semois","Wallonia","Province of Namur","Belgium"
2165,"Ans","Wallonia","Liege","Belgium"
2166,"Beersel","Flanders","Flemish Brabant","Belgium"
2167,"Alveringem","Flanders","West Flanders","Belgium"
2168,"Amay","Wallonia","Liege","Belgium"
2169,"Nassogne","Wallonia","Luxembourg","Belgium"
2170,"Andenne","Wallonia","Province of Namur","Belgium"
2171,"Anderlecht","Brussels",NA,"Belgium"
2172,"Anderlecht","Brussels",NA,"Belgium"
2173,"Anderlues","Wallonia","Hainaut","Belgium"
2174,"Liège","Wallonia","Liege","Belgium"
2175,"Ans","Wallonia","Liege","Belgium"
2176,"Wanze","Wallonia","Liege","Belgium"
2177,"Anthisnes","Wallonia","Liege","Belgium"
2178,"Antoing","Wallonia","Hainaut","Belgium"
2179,"Antwerpen","Vlaams Gewest","Antwerpen","Belgium"
2180,"Antwerpen","Vlaams Gewest","Antwerpen","Belgium"
2181,"Frasnes-lez-Anvaing","Wallonia","Hainaut","Belgium"
2182,"Antwerpen","Vlaams Gewest","Antwerpen","Belgium"
2183,"Antwerpen","Vlaams Gewest","Antwerpen","Belgium"
2184,"Anzegem","Flanders","West Flanders","Belgium"
2185,"Dendermonde","Flanders","East Flanders","Belgium"
2186,"Ninove","Flanders","East Flanders","Belgium"
2187,"Profondeville","Wallonia","Province of Namur","Belgium"
2188,"Grez-Doiceau","Wallonia","Walloon Brabant","Belgium"
2189,"Manhay","Wallonia","Luxembourg","Belgium"
2190,"Ardooie","Flanders","West Flanders","Belgium"
2191,"Arendonk","Flanders","Antwerp","Belgium"
2192,"Waterloo","Wallonia","Walloon Brabant","Belgium"
2193,"Arlon","Wallonia","Luxembourg","Belgium"
2194,"Seneffe","Wallonia","Hainaut","Belgium"
2195,"Sambreville","Wallonia","Province of Namur","Belgium"
2196,"As","Flanders","Limburg","Belgium"
2197,"Ninove","Flanders","East Flanders","Belgium"
2198,"Gavere","Flanders","East Flanders","Belgium"
2199,"Asse","Flanders","Flemish Brabant","Belgium"
2200,"Bruges","Flanders","West Flanders","Belgium"
2201,"Bruges","Flanders","West Flanders","Belgium"
2202,"Assenede","Flanders","East Flanders","Belgium"
2203,"Bekkevoort","Flanders","Flemish Brabant","Belgium"
2204,"Assesse","Wallonia","Province of Namur","Belgium"
2205,"Deinze","Flanders","East Flanders","Belgium"
2206,"Ath","Wallonia","Hainaut","Belgium"
2207,"Landen","Flanders","Flemish Brabant","Belgium"
2208,"Glabbeek","Flanders","Flemish Brabant","Belgium"
2209,"Attert","Wallonia","Luxembourg","Belgium"
2210,"Aubange","Wallonia","Luxembourg","Belgium"
2211,"Forest","Brussels","Flemish Brabant","Belgium"
2212,"Bertrix","Wallonia","Luxembourg","Belgium"
2213,"Auderghem","Brussels",NA,"Belgium"
2214,"Ramillies","Wallonia","Walloon Brabant","Belgium"
2215,"Veurne","Flanders","West Flanders","Belgium"
2216,"Avelgem","Flanders","West Flanders","Belgium"
2217,"Scherpenheuvel-Zichem","Flanders","Flemish Brabant","Belgium"
2218,"Awans","Wallonia","Liege","Belgium"
2219,"Aywaille","Wallonia","Liege","Belgium"
2220,"Tremelo","Flanders","Flemish Brabant","Belgium"
2221,"Aalst","Flanders","East Flanders","Belgium"
2222,"Baarle-Hertog","Flanders","Antwerp","Belgium"
2223,"Baarle-Hertog","Flanders","Antwerp","Belgium"
2224,"Sprimont","Wallonia","Liege","Belgium"
2225,"Estaimpuis","Wallonia","Hainaut","Belgium"
2226,"Balen","Vlaams Gewest","Antwerpen","Belgium"
2227,"Mont-Saint-Guibert","Wallonia","Walloon Brabant","Belgium"
2228,"Beaumont","Wallonia","Hainaut","Belgium"
2229,"Blegny","Wallonia","Liege","Belgium"
2230,"Beauraing","Wallonia","Province of Namur","Belgium"
2231,"Tournai","Wallonia","Hainaut","Belgium"
2232,"Beloeil","Wallonia","Hainaut","Belgium"
2233,"Bassenge","Wallonia","Liege","Belgium"
2234,"Assenede","Flanders","East Flanders","Belgium"
2235,"Silly","Wallonia","Hainaut","Belgium"
2236,"Bastogne","Wallonia","Luxembourg","Belgium"
2237,"Heers","Flanders","Limburg","Belgium"
2238,"Binche","Wallonia","Hainaut","Belgium"
2239,"Saint-Ghislain","Wallonia","Hainaut","Belgium"
2240,"Lens","Wallonia","Hainaut","Belgium"
2241,"Nivelles","Wallonia","Walloon Brabant","Belgium"
2242,"Sint-Lievens-Houtem","Flanders","East Flanders","Belgium"
2243,"Harelbeke","Flanders","West Flanders","Belgium"
2244,"Kruibeke","Flanders","East Flanders","Belgium"
2245,"Chaudfontaine","Wallonia","Liege","Belgium"
2246,"Beaumont","Wallonia","Hainaut","Belgium"
2247,"Beauraing","Wallonia","Province of Namur","Belgium"
2248,"Beauvechain","Wallonia","Walloon Brabant","Belgium"
2249,"Tournai","Wallonia","Hainaut","Belgium"
2250,"Bree","Flanders","Limburg","Belgium"
2251,"Beernem","Flanders","West Flanders","Belgium"
2252,"Beerse","Flanders","Antwerp","Belgium"
2253,"Beersel","Flanders","Flemish Brabant","Belgium"
2254,"Diksmuide","Flanders","West Flanders","Belgium"
2255,"Pepingen","Flanders","Flemish Brabant","Belgium"
2256,"Pepingen","Flanders","Flemish Brabant","Belgium"
2257,"Putte","Flanders","Antwerp","Belgium"
2258,"Rendeux","Wallonia","Luxembourg","Belgium"
2259,"Begijnendijk","Flanders","Flemish Brabant","Belgium"
2260,"Grimbergen","Flanders","Flemish Brabant","Belgium"
2261,"Ichtegem","Flanders","West Flanders","Belgium"
2262,"Bekkevoort","Flanders","Flemish Brabant","Belgium"
2263,"Namur","Wallonia","Province of Namur","Belgium"
2264,"Fayt-lez-Manage","Wallonia","Hainaut","Belgium"
2265,"Kortrijk","Flanders","West Flanders","Belgium"
2266,"Pepingen","Flanders","Flemish Brabant","Belgium"
2267,"Sint-Niklaas","Flanders","East Flanders","Belgium"
2268,"Ternat","Flanders","Flemish Brabant","Belgium"
2269,"Herk-de-Stad","Flanders","Limburg","Belgium"
2270,"Antwerpen","Vlaams Gewest","Antwerpen","Belgium"
2271,"Sint-Agatha-Berchem","Brussels",NA,"Belgium"
2272,"Sint-Agatha-Berchem","Brussels",NA,"Belgium"
2273,"Kampenhout","Flanders","Flemish Brabant","Belgium"
2274,"Beringen","Flanders","Limburg","Belgium"
2275,"Berlaar","Vlaams Gewest","Antwerpen","Belgium"
2276,"Berlare","Flanders","East Flanders","Belgium"
2277,"Wellen","Flanders","Limburg","Belgium"
2278,"Berloz","Wallonia","Liege","Belgium"
2279,"Bernissart","Wallonia","Hainaut","Belgium"
2280,"Bertem","Flanders","Flemish Brabant","Belgium"
2281,"Bertogne","Wallonia","Luxembourg","Belgium"
2282,"Bertrix","Wallonia","Luxembourg","Belgium"
2283,"Beringen","Flanders","Limburg","Belgium"
2284,"Beringen","Flanders","Limburg","Belgium"
2285,"Walcourt","Wallonia","Province of Namur","Belgium"
2286,"Zonnebeke","Flanders","West Flanders","Belgium"
2287,"Begijnendijk","Flanders","Flemish Brabant","Belgium"
2288,"Waremme","Wallonia","Liege","Belgium"
2289,"Gembloux","Wallonia","Province of Namur","Belgium"
2290,"Nijlen","Vlaams Gewest","Antwerpen","Belgium"
2291,"Oudenaarde","Flanders","East Flanders","Belgium"
2292,"Beveren","Flanders","East Flanders","Belgium"
2293,"Waregem","Flanders","West Flanders","Belgium"
2294,"Beveren","Flanders","East Flanders","Belgium"
2295,"Beveren","Flanders","East Flanders","Belgium"
2296,"Waregem","Flanders","West Flanders","Belgium"
2297,"Waregem","Flanders","West Flanders","Belgium"
2298,"Beringen","Flanders","Limburg","Belgium"
2299,"Bilzen","Flanders","Limburg","Belgium"
2300,"Beyne-Heusay","Wallonia","Liege","Belgium"
2301,"Bierbeek","Flanders","Flemish Brabant","Belgium"
2302,"Bierbeek","Flanders","Flemish Brabant","Belgium"
2303,"Wavre","Wallonia","Walloon Brabant","Belgium"
2304,"Rebecq","Wallonia","Walloon Brabant","Belgium"
2305,"Grâce-Hollogne","Wallonia","Liege","Belgium"
2306,"Bièvre","Wallonia","Province of Namur","Belgium"
2307,"Bièvre","Wallonia","Province of Namur","Belgium"
2308,"Grez-Doiceau","Wallonia","Walloon Brabant","Belgium"
2309,"Bilzen","Flanders","Limburg","Belgium"
2310,"Binche","Wallonia","Hainaut","Belgium"
2311,"Nieuwerkerken","Flanders","Limburg","Belgium"
2312,"Lubbeek","Flanders","Flemish Brabant","Belgium"
2313,"Kortrijk","Flanders","West Flanders","Belgium"
2314,"Willebroek","Vlaams Gewest","Antwerpen","Belgium"
2315,"Tournai","Wallonia","Hainaut","Belgium"
2316,"Oud-Heverlee","Flanders","Flemish Brabant","Belgium"
2317,"Blankenberge","Flanders","West Flanders","Belgium"
2318,"Bernissart","Wallonia","Hainaut","Belgium"
2319,"Blegny","Wallonia","Liege","Belgium"
2320,"Leuze-en-Hainaut","Wallonia","Hainaut","Belgium"
2321,"Bocholt","Flanders","Limburg","Belgium"
2322,"Boechout","Vlaams Gewest","Antwerpen","Belgium"
2323,"Assenede","Flanders","East Flanders","Belgium"
2324,"Ypres","Flanders","West Flanders","Belgium"
2325,"Pepingen","Flanders","Flemish Brabant","Belgium"
2326,"Sombreffe","Wallonia","Province of Namur","Belgium"
2327,"Profondeville","Wallonia","Province of Namur","Belgium"
2328,"Herve","Wallonia","Liege","Belgium"
2329,"Borgloon","Flanders","Limburg","Belgium"
2330,"Peruwelz","Wallonia","Hainaut","Belgium"
2331,"Seraing","Wallonia","Liege","Belgium"
2332,"Bonheiden","Flanders","Antwerp","Belgium"
2333,"Heist-op-den-Berg","Flanders","Antwerp","Belgium"
2334,"Boom","Vlaams Gewest","Antwerpen","Belgium"
2335,"Maasmechelen","Flanders","Limburg","Belgium"
2336,"Boortmeerbeek","Flanders","Flemish Brabant","Belgium"
2337,"Boortmeerbeek","Flanders","Flemish Brabant","Belgium"
2338,"Roosdaal","Flanders","Flemish Brabant","Belgium"
2339,"Antwerp","Flanders","Antwerp","Belgium"
2340,"Borgloon","Flanders","Limburg","Belgium"
2341,"Gingelom","Flanders","Limburg","Belgium"
2342,"Bornem","Flanders","Antwerp","Belgium"
2343,"Nivelles","Wallonia","Walloon Brabant","Belgium"
2344,"Borsbeek","Flanders","Antwerp","Belgium"
2345,"Herzele","Flanders","East Flanders","Belgium"
2346,"Avelgem","Flanders","West Flanders","Belgium"
2347,"Grez-Doiceau","Wallonia","Walloon Brabant","Belgium"
2348,"Tienen","Flanders","Flemish Brabant","Belgium"
2349,"Merelbeke","Flanders","East Flanders","Belgium"
2350,"Châtelet","Wallonia","Hainaut","Belgium"
2351,"Namur","Wallonia","Province of Namur","Belgium"
2352,"Boussu","Wallonia","Hainaut","Belgium"
2353,"Boutersem","Flanders","Flemish Brabant","Belgium"
2354,"Grobbendonk","Flanders","Antwerp","Belgium"
2355,"Floreffe","Wallonia","Province of Namur","Belgium"
2356,"Lierneux","Wallonia","Liege","Belgium"
2357,"Kortenberg","Flanders","Flemish Brabant","Belgium"
2358,"Genappe","Wallonia","Walloon Brabant","Belgium"
2359,"Kortenberg","Flanders","Flemish Brabant","Belgium"
2360,"Kortenberg","Flanders","Flemish Brabant","Belgium"
