"week_midpoint","country","non_sgtf","sgtf","Other","Alpha","Beta","Gamma","Delta","Omicron (B.1.1.529)","Omicron (BA.1)","Omicron (BA.2)","Omicron (BA.3)","Omicron","Total","longitude","latitude","continent","date_num"
2019-12-26,"Uganda",0,0,0,0,0,0,0,0,0,0,0,0,0,32.36907536,1.27469024,"Africa",18256
2019-12-26,"Ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,31.38325794,48.99656784,"Europe",18256
2019-12-26,"United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,54.30015737,23.90527175,"Asia",18256
2019-12-26,"United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86563362,54.12387156,"Europe",18256
2019-12-26,"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,-56.01806795,-32.79951982,"South America",18256
2019-12-26,"USA",0,0,0,0,0,0,0,0,0,0,0,0,0,-112.4616706,45.67955203,"North America",18256
2019-12-26,"Uzbekistan",0,0,0,0,0,0,0,0,0,0,0,0,0,63.14001799,41.75554081,"Asia",18256
2019-12-26,"Vanuatu",0,0,0,0,0,0,0,0,0,0,0,0,0,167.6863674,-16.22630588,"Oceania",18256
2019-12-26,"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,-66.18184085,7.12422395,"South America",18256
2019-12-26,"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,106.2991386,16.64601451,"Asia",18256
2019-12-26,"Wallis and Futuna Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,-177.3481331,-13.88724988,"Oceania",18256
2019-12-26,"Zambia",0,0,0,0,0,0,0,0,0,0,0,0,0,27.77475082,-13.45824537,"Africa",18256
2019-12-26,"Zimbabwe",0,0,0,0,0,0,0,0,0,0,0,0,0,29.85145031,-19.00420587,"Africa",18256
2020-01-02,"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,66.00473115,33.83523216,"Asia",18263
2020-01-02,"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,20.04983034,41.14245128,"Europe",18263
2020-01-02,"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,2.61732102,28.15893844,"Africa",18263
2020-01-02,"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,1.56053368,42.54229174,"Europe",18263
2020-01-02,"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,17.53736149,-12.29336112,"Africa",18263
2020-01-02,"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,-63.06498464,18.22396692,"North America",18263
2020-01-02,"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.7946956,17.27754256,"North America",18263
2020-01-02,"Argentina",1,0,1,0,0,0,0,0,0,0,0,0,1,-65.17980881,-35.38135347,"South America",18263
2020-01-02,"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,44.9299343,40.28952206,"Asia",18263
2020-01-02,"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,-69.98267466,12.52088881,"South America",18263
2020-01-02,"Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,134.4909988,-25.73288736,"Oceania",18263
2020-01-02,"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,14.12647809,47.58549847,"Europe",18263
2020-01-02,"Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,47.54599646,40.28827674,"Europe",18263
2020-01-02,"Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,50.54197759,26.04200845,"Asia",18263
2020-01-02,"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,90.23812793,23.86730412,"Asia",18263
2020-01-02,"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,-59.55980198,13.18145371,"North America",18263
