"date_num","country","prob","SE","df","asymp.LCL","asymp.UCL","date"
18873,"Denmark",2.22044604925031e-16,2.66062527222717e-16,122,2.22044604925031e-16,1.29110329577168e-13,2021-09-03
18874,"Denmark",2.22044604925031e-16,2.63307278127579e-16,122,2.22044604925031e-16,1.71133929573163e-13,2021-09-04
18875,"Denmark",2.22044604925031e-16,2.60552166949855e-16,122,2.22044604925031e-16,2.26835900408101e-13,2021-09-05
18876,"Denmark",2.22044604925031e-16,2.57797198111366e-16,122,2.22044604925031e-16,3.00668553209491e-13,2021-09-06
18877,"Denmark",2.22044604925031e-16,2.5504237622476e-16,122,2.22044604925031e-16,3.98533464781301e-13,2021-09-07
18878,"Denmark",2.22044604925031e-16,2.52287706103901e-16,122,2.22044604925031e-16,5.28253240178763e-13,2021-09-08
18879,"Denmark",2.22044604925031e-16,2.4953319277495e-16,122,2.22044604925031e-16,7.00196847923701e-13,2021-09-09
18880,"Denmark",1.02825669500945e-13,1.14279739439084e-13,122,2.22044604925031e-16,9.28108522264494e-13,2021-09-10
18881,"Denmark",1.39683356820764e-13,1.53510522583289e-13,122,2.22044604925031e-16,1.23020650292948e-12,2021-09-11
18882,"Denmark",1.89752619821621e-13,2.06182615493758e-13,122,2.22044604925031e-16,1.63063945793756e-12,2021-09-12
18883,"Denmark",2.57769125461164e-13,2.7689153309111e-13,122,2.22044604925031e-16,2.16141703456699e-12,2021-09-13
18884,"Denmark",3.50166032508398e-13,3.7180031461957e-13,122,2.22044604925031e-16,2.86496889470401e-12,2021-09-14
18885,"Denmark",4.75682454612442e-13,4.99172830939656e-13,122,2.22044604925031e-16,3.79753684541999e-12,2021-09-15
18886,"Denmark",6.46190025929146e-13,6.70088018476908e-13,122,2.22044604925031e-16,5.03367129297807e-12,2021-09-16
18887,"Denmark",8.77815747798577e-13,8.99396225152171e-13,122,1.1548836398699e-13,6.67219155659785e-12,2021-09-17
18888,"Denmark",1.19246731791494e-12,1.20699947148688e-12,122,1.6078294595175e-13,8.84408664033658e-12,2021-09-18
18889,"Denmark",1.61990521115757e-12,1.61956496771441e-12,122,2.23841638261299e-13,1.17229882406838e-11,2021-09-19
18890,"Denmark",2.20055749429119e-12,2.17281799693044e-12,122,3.11631161636352e-13,1.55390534765468e-11,2021-09-20
18891,"Denmark",2.98934360623466e-12,2.91460935515967e-12,122,4.3385035424003e-13,2.05973675223913e-11,2021-09-21
18892,"Denmark",4.06086876589969e-12,3.9090180338354e-12,122,6.04001578288826e-13,2.73023378188058e-11,2021-09-22
