"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"Other",18402,0.999929881274032,1.59316109926899e-05,NA,0.999898655890271,0.999961106657793,2020-05-20,803,802.943694663048,978.483905537826,978.415295492989
"Omicron",18402,1.63300651188148e-40,8.78713354915259e-40,NA,-1.55894587718012e-39,1.88554717955642e-39,2020-05-20,803,NA,978.483905537826,NA
"Delta",18405,3.38467554615456e-43,1.61245902233684e-42,NA,-2.82189405571141e-42,3.49882916494232e-42,2020-05-23,1218,NA,1149.85499926002,NA
"Beta",18405,8.69909808595442e-05,1.936152073765e-05,NA,4.90430975278247e-05,0.000124938864191264,2020-05-23,1218,0.105955014686925,1149.85499926002,0.10002701423188
"Alpha",18405,2.8819303395049e-18,1.27834787547787e-17,NA,-2.21732276169944e-17,2.79370882960042e-17,2020-05-23,1218,NA,1149.85499926002,NA
"C.1.2",18405,3.1781241373371e-52,4.44675054822566e-51,NA,-8.39765850902232e-51,9.03328333648974e-51,2020-05-23,1218,NA,1149.85499926002,NA
"Other",18405,0.99991300901914,1.93615207376871e-05,NA,0.999875061135809,0.999950956902472,2020-05-23,1218,1217.89404498531,1149.85499926002,1149.75497224579
"Omicron",18405,2.36862012994357e-40,1.26396813407347e-39,NA,-2.24047000739593e-39,2.71419403338464e-39,2020-05-23,1218,NA,1149.85499926002,NA
"Delta",18408,1.22079327405578e-42,5.73849735772774e-42,NA,-1.00264548724689e-41,1.24680414205804e-41,2020-05-26,649,NA,1348.22385590081,NA
"Beta",18408,0.000107834827167097,2.35026859465223e-05,NA,6.17704091719575e-05,0.000153899245162236,2020-05-26,649,0.0699848028314459,1348.22385590081,0.145385486483621
"Alpha",18408,5.25298248272275e-18,2.29558350048593e-17,NA,-3.97396273618454e-17,5.02455923272909e-17,2020-05-26,649,NA,1348.22385590081,NA
"C.1.2",18408,1.41099841250702e-51,1.94877121392555e-50,NA,-3.67842155215178e-50,3.96062123465318e-50,2020-05-26,649,NA,1348.22385590081,NA
"Other",18408,0.999892165172833,2.3502685946503e-05,NA,0.999846100754838,0.999938229590828,2020-05-26,649,648.930015197168,1348.22385590081,1348.07847041433
"Omicron",18408,3.43788735801871e-40,1.81941517642488e-39,NA,-3.22219948291649e-39,3.90977695452023e-39,2020-05-26,649,NA,1348.22385590081,NA
"Delta",18411,4.38882921646797e-42,2.03528997341698e-41,NA,-3.55021212434596e-41,4.42797796763955e-41,2020-05-29,1837,NA,1574.26576763863,NA
"Beta",18411,0.000133559404982717,2.84954745285858e-05,NA,7.77093011843099e-05,0.000189409508781123,2020-05-29,1837,0.24534862695325,1574.26576763863,0.210257999210475
"Alpha",18411,9.55668899209927e-18,4.11376001856556e-17,NA,-7.1071525782194e-17,9.01849037663925e-17,2020-05-29,1837,NA,1574.26576763863,NA
"C.1.2",18411,6.24086899936228e-51,8.50712265387513e-50,NA,-1.60495671137238e-49,1.72977409135963e-49,2020-05-29,1837,NA,1574.26576763863,NA
"Other",18411,0.999866440595017,2.84954745285881e-05,NA,0.999810590491219,0.999922290698816,2020-05-29,1837,1836.75465137305,1574.26576763863,1574.05550963942
"Omicron",18411,4.99329672012992e-40,2.6208760957544e-39,NA,-4.63749308360757e-39,5.63615242763356e-39,2020-05-29,1837,NA,1574.26576763863,NA
"Delta",18414,1.57247504589266e-41,7.19315078637834e-41,NA,-1.25258414307749e-40,1.56707915225602e-40,2020-06-01,1674,NA,1830.1796953746,NA
"Beta",18414,0.000165274719873714,3.45061463170126e-05,NA,9.76439158471002e-05,0.000232905523900329,2020-06-01,1674,0.276669881068598,1830.1796953746,0.302482436471596
"Alpha",18414,1.73523048776316e-17,7.35621729188277e-17,NA,-1.26826904667778e-16,1.61531514423042e-16,2020-06-01,1674,NA,1830.1796953746,NA
"C.1.2",18414,2.74957419142022e-50,3.69867723776987e-49,NA,-6.974316757325e-49,7.52423159560905e-49,2020-06-01,1674,NA,1830.1796953746,NA
"Other",18414,0.999834725280126,3.45061463170118e-05,NA,0.9997670944761,0.999902356084153,2020-06-01,1674,1673.72333011893,1830.1796953746,1829.87721293812
