"date_num","variant","prob","date","totcases","cases","smoothed_totcases","smoothed_cases","totinfections","infections","cuminfections","cuminfectionsperpop"
18881,"Omicron (BA.5)",3.08330313953303e-08,2021-09-11,5309,NA,4766.81798318363,NA,118266.234208977,0.00364650651237286,0.0262988207260597,4.33599998728155e-08
18882,"Omicron (BA.4)",1.57798475108521e-07,2021-09-12,3961,NA,4483.66716616039,NA,113269.659251068,0.0178737795058803,0.151202799064363,2.49294575467545e-07
18882,"Beta",0.00182683165204047,2021-09-12,3961,7.23608017373231,4483.66716616039,8.1909050963564,113269.659251068,206.92459873569,14857749.8300732,24.4966128881941
18882,"Alpha",0.000138614582657258,2021-09-12,3961,0.549052361905399,4483.66716616039,0.621501653011373,113269.659251068,15.7008265448166,387662.299753639,0.639155551615929
18882,"Other",0.0377926596353636,2021-09-12,3961,149.696724815675,4483.66716616039,169.449707128955,113269.659251068,4280.76167908922,12179121.5322073,20.080242897136
18882,"Delta",0.959607150915353,2021-09-12,3961,3801.00392477571,4483.66716616039,4302.55907497188,113269.659251068,108694.37499907,17230654.2473505,28.4089227329238
18882,"Omicron (BA.1)",0.00056793666636382,2021-09-12,3961,2.24959713546709,4483.66716616039,2.54643898343404,113269.659251068,64.3299926752173,461.306358580473,0.000760575687318097
18882,"Omicron (BA.2)",3.79702871473745e-11,2021-09-12,3961,NA,4483.66716616039,NA,113269.659251068,0,0,0
18882,"Omicron (BA.3)",6.66132278175872e-05,2021-09-12,3961,0.263854995385463,4483.66716616039,0.298671542397677,113269.659251068,7.54525761651186,79.9328220221526,0.000131788690786425
18882,"Omicron (BA.5)",3.54839593108333e-08,2021-09-12,3961,NA,4483.66716616039,NA,113269.659251068,0.00401925598001685,0.0303180767060766,4.99867205382655e-08
18883,"Omicron (BA.4)",1.83250655978173e-07,2021-09-13,2640,NA,4207.10014871207,NA,108333.313767844,0.0198521508122467,0.17105494987661,2.82025672639563e-07
18883,"Beta",0.00174011325780779,2021-09-13,2640,4.59389900061256,4207.10014871207,7.32083074569899,108333.313767844,188.512235549677,14857938.3423088,24.4969236964465
18883,"Alpha",0.000129578699139112,2021-09-13,2640,0.342087765727257,4207.10014871207,0.545150564418076,108333.313767844,14.0376898714666,387676.33744351,0.639178696160598
18883,"Other",0.038348167571303,2021-09-13,2640,101.23916238824,4207.10014871207,161.334581492064,108333.313767844,4154.38406992384,12183275.9162773,20.0870924093107
18883,"Delta",0.959029866698035,2021-09-13,2640,2531.83884808281,4207.10014871207,4034.73469480462,108333.313767844,103894.883461732,17334549.1308122,28.5802187077742
18883,"Omicron (BA.1)",0.000676751325286981,2021-09-13,2640,1.78662349875763,4207.10014871207,2.84716060125595,108333.313767844,73.314713665119,534.621072245592,0.000881452817449071
18883,"Omicron (BA.2)",5.50804576056387e-11,2021-09-13,2640,NA,4207.10014871207,NA,108333.313767844,0,0,0
18883,"Omicron (BA.3)",7.5298314246254e-05,2021-09-13,2640,0.198787549610111,4207.10014871207,0.316787549063183,108333.313767844,8.15731590342918,88.0901379255817,0.000145238009302245
18883,"Omicron (BA.5)",4.0828445366929e-08,2021-09-13,2640,NA,4207.10014871207,NA,108333.313767844,0.00442308078258881,0.0347411574886654,5.7279244570739e-08
18884,"Omicron (BA.4)",2.12737043042873e-07,2021-09-14,3699,NA,3936.90559128546,NA,103473.288284413,0.0220126013835487,0.193067551260159,3.18318797838337e-07
18884,"Beta",0.00165775527025422,2021-09-14,3699,6.13203674467035,3936.90559128546,6.52642599244677,103473.288284413,171.533388984019,14858109.8756978,24.4972065109423
18884,"Alpha",0.00012112034850025,2021-09-14,3699,0.448024169102424,3936.90559128546,0.476839377229077,103473.288284413,12.5327207374749,387688.870164248,0.639199359397754
18884,"Other",0.0389284655104378,2021-09-14,3699,143.996393923109,3936.90559128546,153.257693528206,103473.288284413,4028.05633423135,12187303.9726115,20.0937336394997
18884,"Delta",0.958402015815751,2021-09-14,3699,3545.12905650246,3936.90559128546,3773.13825476429,103473.288284413,99169.0080748656,17433718.1388871,28.74372292807
18884,"Omicron (BA.1)",0.000805324323587163,2021-09-14,3699,2.97889467294892,3936.90559128546,3.17048583232848,103473.288284413,83.3295558969842,617.950628142576,0.00101884184985974
18884,"Omicron (BA.2)",7.96933189285097e-11,2021-09-14,3699,NA,3936.90559128546,NA,103473.288284413,0,0,0
