"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"B.1.351",18702,"East Midlands",0.00103497224759868,0.00025727413626598,NA,0.001,0.00153922028883365,2021-03-16
"P.1",18702,"East Midlands",0.001,2.76952098518016e-05,NA,0.001,0.001,2021-03-16
"B.1.617.1",18702,"East Midlands",0.001,8.46705122249765e-06,NA,0.001,0.001,2021-03-16
"B.1.617.2",18702,"East Midlands",0.001,7.74696325881188e-06,NA,0.001,0.001,2021-03-16
"B.1.1.7",18706,"East Midlands",0.990673876576511,0.000498816997689349,NA,0.989696213226163,0.991651539926858,2021-03-20
"other",18706,"East Midlands",0.00531014852586324,0.000300084376339268,NA,0.00472199395591511,0.00589830309581137,2021-03-20
"B.1.177+",18706,"East Midlands",0.00251851514704068,0.00017833641251982,NA,0.00216898220136975,0.0028680480927116,2021-03-20
"B.1.525",18706,"East Midlands",0.001,0.000124563728813131,NA,0.001,0.001,2021-03-20
"B.1.351",18706,"East Midlands",0.00111568240833158,0.000276230493364155,NA,0.001,0.00165708422675705,2021-03-20
"P.1",18706,"East Midlands",0.001,3.43116571849228e-05,NA,0.001,0.001,2021-03-20
"B.1.617.1",18706,"East Midlands",0.001,2.30615453219115e-05,NA,0.001,0.001,2021-03-20
"B.1.617.2",18706,"East Midlands",0.001,1.6330253052368e-05,NA,0.001,0.001,2021-03-20
"B.1.1.7",18710,"East Midlands",0.990934721908553,0.000500533083457647,NA,0.989953695091905,0.991915748725201,2021-03-24
"other",18710,"East Midlands",0.00526503111027047,0.000301778137779909,NA,0.00467355682890028,0.00585650539164066,2021-03-24
"B.1.177+",18710,"East Midlands",0.00200927112723506,0.00015020921794105,NA,0.00171486646992467,0.00230367578454544,2021-03-24
"B.1.525",18710,"East Midlands",0.001,0.000130698043733803,NA,0.001,0.001,2021-03-24
"B.1.351",18710,"East Midlands",0.00119911659959234,0.00029569100022109,NA,0.001,0.0017786603105783,2021-03-24
"P.1",18710,"East Midlands",0.001,4.20377314424111e-05,NA,0.001,0.001,2021-03-24
"B.1.617.1",18710,"East Midlands",0.001,5.49596301729387e-05,NA,0.001,0.001,2021-03-24
"B.1.617.2",18710,"East Midlands",0.001,3.25989328343343e-05,NA,0.001,0.001,2021-03-24
"B.1.1.7",18714,"East Midlands",0.990822653399668,0.000519647363258928,NA,0.98980416328302,0.991841143516317,2021-03-28
