"LINEAGE","DATE_NUM","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"Omicron (BA.3)",18623,5.86318804223083e-47,2.28150012174658e-45,NA,-4.41302618892473e-45,4.53028994976934e-45,2020-12-27
"Omicron (BA.1.1, with S:R346K)",18623,3.89534847588176e-59,1.75760797334174e-58,NA,-3.05531347910208e-58,3.83438317427843e-58,2020-12-27
"Omicron (BA.4)",18623,1.01514671690564e-16,4.18948231489766e-16,NA,-7.19608773416126e-16,9.22638116797254e-16,2020-12-27
"Omicron (BA.5)",18623,2.45119563983019e-45,1.20130983559741e-44,NA,-2.10940444806164e-44,2.59964357602767e-44,2020-12-27
"Omicron (BA.1)",18630,1.65105772551672e-43,6.44803417122986e-43,NA,-1.09868570211774e-42,1.42889724722108e-42,2021-01-03
"Other",18630,0.804999145473297,0.00989350510482854,NA,0.78560823178697,0.824390059159624,2021-01-03
"Alpha",18630,0.171232136046189,0.0091000609856117,NA,0.153396344257272,0.189067927835106,2021-01-03
"Beta",18630,0.0232208926456773,0.0034998097118521,NA,0.0163613916577037,0.0300803936336509,2021-01-03
"Gamma",18630,0.000546259642706343,0.000164543028094867,NA,0.000223761233733242,0.000868758051679445,2021-01-03
"Delta",18630,1.56619212969025e-06,1.04155153878726e-06,NA,-4.75211374375047e-07,3.60759563375555e-06,2021-01-03
"Omicron (BA.2)",18630,3.2087081534372e-77,2.18974225275318e-76,NA,-3.97094513547811e-76,4.61268676616555e-76,2021-01-03
"Omicron (BA.3)",18630,5.5637385284644e-47,2.16099262605559e-45,NA,-4.17983033264095e-45,4.29110510321024e-45,2021-01-03
"Omicron (BA.1.1, with S:R346K)",18630,2.83138755969203e-59,1.27845376962319e-58,NA,-2.22258458839171e-58,2.78886210033012e-58,2021-01-03
"Omicron (BA.4)",18630,4.68732301061996e-16,1.93768759666312e-15,NA,-3.32906560168769e-15,4.26653020381168e-15,2021-01-03
"Omicron (BA.5)",18630,6.35908202273913e-45,3.13627262637159e-44,NA,-5.51107319111324e-44,6.78288959566107e-44,2021-01-03
"Omicron (BA.1)",18637,1.46714115583402e-43,5.7244766373612e-43,NA,-9.75262688373489e-43,1.26869091954029e-42,2021-01-10
"Other",18637,0.733974667514146,0.0103637725502078,NA,0.713662046571774,0.754287288456518,2021-01-10
"Alpha",18637,0.232433438188122,0.00963042846545266,NA,0.213558145240146,0.251308731136099,2021-01-10
"Beta",18637,0.0324660512113343,0.00398638149497809,NA,0.0246528870525403,0.0402792153701283,2021-01-10
"Gamma",18637,0.00112242087202019,0.000292815186487895,NA,0.000548513652377532,0.00169632809166284,2021-01-10
"Delta",18637,3.42221437515782e-06,2.0970867459386e-06,NA,-6.88000119338144e-07,7.53242886965378e-06,2021-01-10
"Omicron (BA.2)",18637,1.25897502608034e-76,8.57240354251203e-76,NA,-1.55426271781868e-75,1.80605772303475e-75,2021-01-10
"Omicron (BA.3)",18637,5.77787749620801e-47,2.23764344534251e-45,NA,-4.32792178815136e-45,4.44347933807552e-45,2021-01-10
"Omicron (BA.1.1, with S:R346K)",18637,2.38606943110958e-59,1.07681127188456e-58,NA,-1.87190436792954e-58,2.34911825415146e-58,2021-01-10
"Omicron (BA.4)",18637,2.01069921519446e-15,8.3173373123504e-15,NA,-1.42909823642835e-14,1.83123807946724e-14,2021-01-10
"Omicron (BA.5)",18637,1.66853620342971e-44,8.27728428840125e-44,NA,-1.4554642891636e-43,1.78917152984954e-43,2021-01-10
"Omicron (BA.1)",18644,1.44660716547399e-43,5.63202127031255e-43,NA,-9.59195168450213e-43,1.24851660154501e-42,2021-01-17
