"DATE_NUM","LINEAGE","prob","collection_date","totcases","cases","smoothed_totcases","smoothed_cases"
18698,"Other",0.157353558420817,2021-03-12,3752,590.390551194907,5921.02955265949,931.695069625791
18699,"Other",0.153247802452017,2021-03-13,2174,333.160722530686,6007.74273808848,920.673372309125
18700,"Other",0.149285110380085,2021-03-14,1383,206.461307655657,6096.59466807312,910.130807965931
18701,"Other",0.145461387375898,2021-03-15,5256,764.545052047718,6187.16579488358,899.993720448464
18702,"Other",0.141772604413483,2021-03-16,4599,652.012207697609,6279.00983765074,890.191577821627
18703,"Other",0.138214803817812,2021-03-17,4835,668.26857645912,6371.65264349556,880.65672011598
18704,"Other",0.134784103978255,2021-03-18,5036,678.772747634494,6464.59139071023,871.324158182422
18705,"Other",0.131476703298813,2021-03-19,5182,681.312276494448,6557.29417211377,862.131420310036
18706,"Other",0.128288883452577,2021-03-20,2845,364.981873422582,6649.19999800625,853.0184435971
18707,"Other",0.125217012004346,2021-03-21,1576,197.342010918849,6739.71925855773,843.927507304746
18708,"Other",0.122257544461454,2021-03-22,6285,768.388666940236,6828.23468486534,834.803205578165
18709,"Other",0.119407025809169,2021-03-23,6037,720.860214809951,6914.10284617212,825.59245700012
18710,"Other",0.116662091583107,2021-03-24,5566,649.341201751575,6996.65621774704,816.244548450323
18711,"Other",0.114019468527468,2021-03-25,5623,641.131471529954,7075.20584957058,806.711210690472
18712,"Other",0.111475974884179,2021-03-26,5740,639.872095835185,7149.04466016452,796.946722982371
18713,"Other",0.109028520354521,2021-03-27,3056,333.191158203416,7217.45137258601,786.908043883758
18714,"Other",0.10667410577144,2021-03-28,1691,180.385912859504,7279.69510073726,776.554965159876
18715,"Other",0.104409822517407,2021-03-29,6154,642.538047772124,7335.07103442214,765.85346485659
18716,"Other",0.102232851719753,2021-03-30,5197,531.304130387555,7383.22430078571,754.808075155901
18717,"Other",0.100140463252315,2021-03-31,4724,473.063548403937,7424.03745760391,743.446550206996
18718,"Other",0.0981300145697168,2021-04-01,4690,460.229768331972,7457.41917199973,731.796652000819
18719,"Other",0.0961989493978019,2021-04-02,4894,470.797658352842,7483.30107801263,719.885701732253
18720,"Other",0.0943447963015918,2021-04-03,2701,254.825294810599,7501.63795854163,707.740505126899
18721,"Other",0.0925651671497801,2021-04-04,1513,140.051097897617,7512.40780706978,695.387284358727
18722,"Other",0.0908577554927847,2021-04-05,1562,141.91981407973,7515.61176993895,682.851616571808
18723,"Other",0.0892203348695209,2021-04-06,5260,469.29896141368,7511.27397079753,670.158378971272
18724,"Other",0.0876507570563214,2021-04-07,4741,415.55223920402,7499.44121967039,657.331700403492
18725,"Other",0.0861469502698359,2021-04-08,4466,384.732279905087,7480.18260989504,644.394919303919
18726,"Other",0.0847069173343351,2021-04-09,4497,380.927007252505,7453.58900692115,631.370547853378
18727,"Other",0.0833287338225236,2021-04-10,2362,196.822469288801,7419.77243367891,618.280242149728
18728,"Other",0.0820105461777943,2021-04-11,1305,107.023762762022,7378.86535787708,605.144778171904
18729,"Other",0.0807505698247508,2021-04-12,4729,381.869444701247,7331.01988719093,591.984033287248
18730,"Other",0.0795470872739127,2021-04-13,4281,340.54108061962,7276.40687883828,578.816973031448
18731,"Other",0.0783984462255855,2021-04-14,3900,305.753940279783,7215.2160103247,565.661724391425
18732,"Other",0.0773030576771654,2021-04-15,3807,294.292740576969,7147.71860379222,552.540503489098
18733,"Other",0.0762595221881394,2021-04-16,4021,306.639538718508,7074.30035100488,539.482764583019
18734,"Other",0.0752670004608663,2021-04-17,2322,174.769975070131,6995.36246774679,526.519950083824
18735,"Other",0.0743248084681446,2021-04-18,1312,97.5141487102057,6911.30997420565,513.681790096812
18736,"Other",0.0734322894661363,2021-04-19,5433,398.957628669518,6822.54930306664,500.995415319776
18737,"Other",0.0725888172128323,2021-04-20,4457,323.528358317594,6729.48604729791,488.485432623614
18738,"Other",0.0717937989742745,2021-04-21,4068,292.057174227349,6632.52285752907,476.174012725723
18739,"Other",0.0710466783296904,2021-04-22,3801,270.048424331153,6532.05749659936,464.080987791938
18740,"Other",0.0703469377865945,2021-04-23,3636,255.781465792058,6428.48105663332,452.223956953285
18741,"Other",0.0696941012167159,2021-04-24,1889,131.652157198376,6322.17634190828,440.618397882882
18742,"Other",0.0690877361229142,2021-04-25,1138,78.6218437078764,6213.51641882952,429.277782739489
18743,"Other",0.068527455746522,2021-04-26,4270,292.612236037649,6102.86333253586,418.213696947422
18744,"Other",0.0680129210233526,2021-04-27,3760,255.728583047806,5990.56698803352,407.435959442227
18745,"Other",0.0675438423952961,2021-04-28,3448,232.891168578981,5876.96419230308,396.952743167717
18746,"Other",0.0671199814826746,2021-04-29,3347,224.650578022512,5762.3778525461,386.770694759068
18747,"Other",0.0667411526206173,2021-04-30,3487,232.726399188092,5647.11632463647,376.895052488942
18748,"Other",0.066407224260336,2021-05-01,1335,88.6536443875485,5531.5610966861,367.335618257384
18749,"Other",0.0661181202335917,2021-05-02,1136,75.1101845853602,5416.4380818195,358.124704331546
18750,"Other",0.0658738208755523,2021-05-03,4331,285.299518212017,5302.51467009851,349.296901568057
18751,"Other",0.0656743639977934,2021-05-04,3651,239.777102955944,5190.49692736949,340.882584537492
18752,"Other",0.0655198456992993,2021-05-05,3615,236.854242202967,5081.03163261751,332.908408562358
18753,"Other",0.0654104209988264,2021-05-06,3515,229.917629810875,4974.70917886153,325.397821736059
18754,"Other",0.0653463042670283,2021-05-07,3294,215.250726255591,4872.06720592656,318.371586047887
18755,"Other",0.065327769431072,2021-05-08,1714,111.971796804857,4773.59484601509,311.848303457828
18756,"Other",0.0653551499181259,2021-05-09,855,55.8786531799976,4679.73747688141,305.844944379056
18757,"Other",0.0654288382969926,2021-05-10,3362,219.971754354489,4590.90189285391,300.377377584896
18758,"Other",0.0655492855691453,2021-05-11,2990,195.992363851744,4507.46182051017,295.46090206464
18759,"Other",0.0657170000515657,2021-05-12,2808,184.533336144796,4429.76372314512,291.110782822351
18760,"Other",0.0659325457838304,2021-05-13,943,62.1743906741521,4358.1328560576,287.342794064033
18761,"Other",0.0661965403809493,2021-05-14,2557,169.264553754087,4292.87955299279,284.173774680239
18762,"Other",0.066509652241305,2021-05-15,1254,83.4031039105964,4234.30574281236,281.622202437811
18763,"Other",0.0668725970058533,2021-05-16,735,49.1513587993022,4182.71171472377,279.708794890384
18764,"Other",0.0672861331501925,2021-05-17,3576,240.615212145088,4138.27425652749,278.448472636722
18765,"Other",0.0677510565756777,2021-05-18,3264,221.139448663012,4099.50326110332,277.745677375186
18766,"Other",0.0682681940490403,2021-05-19,3118,212.860229044908,4063.80496549145,277.428625961623
18767,"Other",0.0688383953225891,2021-05-20,2409,165.831694332117,4028.65897018721,277.326418809642
18768,"Other",0.0694625237489433,2021-05-21,2425,168.446620091187,3991.63257047485,277.268872223665
18769,"Other",0.0701414451860571,2021-05-22,1434,100.582832396806,3950.38467721274,277.085690300557
18770,"Other",0.0708760149704175,2021-05-23,773,54.7871595721327,3902.68385244277,276.60667915054
18771,"Other",0.0716670627195222,2021-05-24,899,64.4286893848504,3846.43929653086,275.663006311312
18772,"Other",0.0725153747102866,2021-05-25,2789,202.245380066989,3779.74322421724,274.08949621278
18773,"Other",0.0734216735688849,2021-05-26,2534,186.050520823554,3700.92248638812,271.727922699334
18774,"Other",0.0743865950016487,2021-05-27,2215,164.766307928652,3608.59658462349,268.43121266472
18775,"Other",0.0754106612979478,2021-05-28,2023,152.555767805748,3501.73845779253,264.06841279459
18776,"Other",0.0764942513469563,2021-05-29,1116,85.3675845032033,3379.73368530779,258.530198009709
18777,"Other",0.0776375669340517,2021-05-30,603,46.8154528612332,3242.43315826635,251.734621354092
18778,"Other",0.0788405951224396,2021-05-31,2026,159.731045718063,3090.19393528021,243.632728901245
18779,"Other",0.0801030665858375,2021-06-01,1682,134.733357997379,2923.9030394173,234.213599856977
18780,"Other",0.0814244098427466,2021-06-02,1498,121.973765944434,2744.99928235263,223.509946584326
18781,"Other",0.082803701456733,2021-06-03,1466,121.390226335571,2557.03253033874,211.731758257324
18782,"Other",0.0842396124150237,2021-06-04,1348,113.554997535452,2366.1325375023,199.32208788177
18783,"Other",0.0857303510837696,2021-06-05,647,55.4675371511989,2177.67829400868,186.693124692868
18784,"Other",0.0872736033663497,2021-06-06,399,34.8221677431735,1995.9205982154,174.191182639379
18785,"Other",0.0888664709630233,2021-06-07,1237,109.92782458126,1824.02474005488,162.094641597924
18786,"Other",0.0905054089460089,2021-06-08,1041,94.2161307127953,1664.17563296641,150.616896219608
18787,"Other",0.0921861642203691,2021-06-09,841,77.5285641093304,1517.71982112153,139.912768670419
18788,"Other",0.0939037168299314,2021-06-10,764,71.7424396580676,1385.32320672199,130.086998121954
18789,"Other",0.095652226475735,2021-06-11,779,74.5130844245976,1267.12865627366,121.203677203782
18790,"Other",0.0974249870220612,2021-06-12,390,37.9957449386039,1162.90291363532,113.295801268838
18791,"Other",0.0992143921446644,2021-06-13,209,20.7358079582349,1072.16688817245,106.374386087666
18792,"Other",0.101011915592063,2021-06-14,765,77.2741154279286,994.307126675504,100.436867552333
18793,"Other",0.102808109741204,2021-06-15,535,55.0023387115442,928.669080809529,95.4747127731292
18794,"Other",0.10459262618517,2021-06-16,419,43.8243103715861,874.634766389401,91.4803471695198
18795,"Other",0.106354261942101,2021-06-17,450,47.8594178739456,831.688785708167,88.4536469695145
18796,"Other",0.108081034471819,2021-06-18,424,45.8263586160515,799.477705282894,86.4083774241317
18797,"Other",0.109760287989275,2021-06-19,274,30.0743189090614,777.645472216941,85.3545909840874
18798,"Other",0.111378832546197,2021-06-20,139,15.4816577239214,765.07787707663,85.2134807557182
18799,"Other",0.112923116013077,2021-06-21,482,54.4289419183032,760.706842707905,85.9013870510465
18800,"Other",0.11437942746229,2021-06-22,365,41.7484910237357,763.757741901673,87.3581732386045
